<name>Chichikov</name>	Chichikov	Satan	[MASK] dropped it there, I take it, intending a scurrilous jest against your reverence. But, indeed, he was blind and foolish, as he ever and always is. A pure hand needs no glove to cover it!"
<name>Hester</name>	Hester	Hester	inquired [MASK]. "Yea, forsooth," replied the bond-servant, staring with wide-open eyes at the scarlet letter, which, being a new-comer in the country, he had never before seen. "Yea, his honourable worship is within.
<name>Hester</name>	Hester	Hester	There had been a period when [MASK] was less alive to this consideration; or, perhaps, in the misanthropy of her own trouble, she left the minister to bear what she might picture to herself as a more tolerable doom.
<name>Pearl</name>	Pearl	Hester	" asked [MASK]. "Not that I remember," said the child. "If thou fearest to leave me in our cottage, thou mightest take me along with thee. I would very gladly go! But, mother, tell me now!
<name>Hester</name>	Hester	Hester	"Never, never!" whispered she. "What we did had a consecration of its own. We felt it so! We said so to each other. Hast thou forgotten it?" "Hush, [MASK]!
<name>Heathcliff</name>	Heathcliff	Hester	Thou to whom I dare not lift mine eyes, wilt Thou yet pardon me?" "Thou wilt go!" said [MASK] calmly, as he met her glance. The decision once made, a glow of strange enjoyment threw its flickering brightness over the trouble of his breast.
<name>Hester</name>	Hester	Hester	At that epoch of pristine simplicity, however, matters of even slighter public interest, and of far less intrinsic weight than the welfare of [MASK] and her child, were strangely mixed up with the deliberations of legislators and acts of state.
<name>Pearl</name>	Pearl	Pearl	This phantasy was probably suggested by the near proximity of the Governor's red roses, as [MASK] stood outside of the window, together with her recollection of the prison rose-bush, which she had passed in coming hither.
<name>Satan</name>	Satan	Satan	speaking!--and then look inward, and discern the black reality of what they idolise? I have laughed, in bitterness and agony of heart, at the contrast between what I seem and what I am! And [MASK] laughs at it!"
<name>Annie</name>	Annie	Pearl	Little [MASK], who was as greatly pleased with the gleaming armour as she had been with the glittering frontispiece of the house, spent some time looking into the polished mirror of the breastplate. "Mother," cried she, "I see you here.
<name>Hester</name>	Hester	Hester	Nor were it an inconsistency too improbable to be assigned to human nature, should we suppose a feeling of regret in [MASK]'s mind, at the moment when she was about to win her freedom from the pain which had been thus deeply incorporated with her being.
<name>Pearl</name>	Pearl	Hester	Taking a handful of these, she arranged them along the lines of the scarlet letter that decorated the maternal bosom, to which the burrs, as their nature was, tenaciously adhered. [MASK] did not pluck them off.
<name>Satan</name>	Satan	Satan	And may she feel, too--what, methinks, is the very truth--that this boon was meant, above all things else, to keep the mother's soul alive, and to preserve her from blacker depths of sin into which [MASK] might else have sought to plunge her!
<name>Hester</name>	Hester	Hester	Lo, the scarlet letter which [MASK] wears! Ye have all shuddered at it! Wherever her walk hath been--wherever, so miserably burdened, she may have hoped to find repose--it hath cast a lurid gleam of awe and horrible repugnance round about her.
<name>Pearl</name>	Pearl	Pearl	"For the Governor and the magistrates are to go by, and the ministers, and all the great people and good people, with the music and the soldiers marching before them." "And will the minister be there?" asked [MASK]. "
